address,code_id,creator,admin,label,ibc_port_id
sei1003gfp9v2cfwpcqn504cxx26x85yufyl4czzpklawtt0gkhz7yms8tdch9,4733,sei1ahc6zhnzruktyunxt2fxdpmals4k92j2rd2elw,sei1ahc6zhnzruktyunxt2fxdpmals4k92j2rd2elw,Frensei Fund Splitter,
sei1008yqu5uvc4p2ckrecp8ah09wwulpxrdnjj4grd057zr3knrfrfq0ejx0l,471,sei1xr3rq8yvd7qplsw5yx90ftsr2zdhg4e9z60h5duusgxpv72hud3shh3qfl,sei12fykm2xhg5ces2vmf4q2aem8c958exv3v0wmvrspa8zucrdwjeds2e2ntx,Astroport pair,
sei1009rsdtfv5u0tndu36v2txeqkp4ldwx75zsguaptlvfjlxk2h65qyd8hah,3,sei1t3xf30vmdxmfpt56gwuhdaf33u95677g544rmv,sei102q7v6z5pmsyuzsr4pnnafm8u34xaf97mq6e9z,SP,
sei100d6axmmgr4gnu5xygmsjsa0k7xyucrxyhrmlduqxc26etp553sqrhmel6,79,sei19ywepd79x2g95d4pkhn52nqeklgtrpdv85t8yz,sei19ywepd79x2g95d4pkhn52nqeklgtrpdv85t8yz,SEIBER TOOTH,
sei100dnlm53x3uqsvwy3dhuw3yt3097qrsn8r8j9742qq98gv8kryjqtpp58k,500,sei12ucqchslattvgl2kswegeg8c8aypczsp0am6df,sei12ucqchslattvgl2kswegeg8c8aypczsp0am6df,JUAN,
sei100f4g8ewrld2hzsa5k32uuv0pcu8v75m3zlmrhegnvjt0jdzdk5qmydmjd,471,sei1xr3rq8yvd7qplsw5yx90ftsr2zdhg4e9z60h5duusgxpv72hud3shh3qfl,sei12fykm2xhg5ces2vmf4q2aem8c958exv3v0wmvrspa8zucrdwjeds2e2ntx,Astroport pair,
sei100fclhhw89jeznnu2590ufgy8zhq2wnaf8tnzzmwvwfpsuv8szzsvfd4fd,3,sei1rzvuv6j0zu5l6u9hpp96g8w2zrqgjql02vxtc6c4g9pkxhhy6ftq4tudy5,,Astroport LP token,
sei100gpjs63w5508pav6z5vtetypg6uzvn3szh8u48sarahytwpq7gqzh9c4u,500,sei1tzj844naa9sreaw4xeaw09drjtp38m3c3w8yzj,,SEIHAMSTER,
sei100hvnjf8u72dn3l7fnky4ydxnznwdmdufn5c9zt9f8crqp6v2zgsdennh3,14,sei1smzlm9t79kur392nu9egl8p8je9j92q4gzguewj56a05kyxxra0qy0nuf3,sei1smzlm9t79kur392nu9egl8p8je9j92q4gzguewj56a05kyxxra0qy0nuf3,Wormhole Wrapped CW20,
sei100l5zt5z44x24mj8fswg3kpgy36qe97uym5286gte998kjhg646qg39ua2,471,sei1xr3rq8yvd7qplsw5yx90ftsr2zdhg4e9z60h5duusgxpv72hud3shh3qfl,sei12fykm2xhg5ces2vmf4q2aem8c958exv3v0wmvrspa8zucrdwjeds2e2ntx,Astroport pair,
sei100l6lnyfnsmsypl4rv2338m6tnkrjk3934n7k5j7fejx9crlkjsqd6jr5n,79,sei16x5d4xwvd8hdu449jpq2zr0zgrv48xs33kvtdg,sei16x5d4xwvd8hdu449jpq2zr0zgrv48xs33kvtdg,SeilorMoon,
sei100mmscs49rcjryn2xrhqau7cp9q7qgwf98s35uyf5zeqwlwwejts78q2qc,3,sei1ddxay0xewa2a7pyqjxr26zq6xxceaaxdxq6tgp3y7azavqrrmedqn86mqh,,Astroport LP token,
sei100p6cddz7cmtveuuyejxsxhyf6lw4r9ds2yfk8pwfdfwv6w9kr2sqa0gnz,500,sei1nx69yyas9uh2eqfce0gnxu7u9jrexvplqym8zl,sei1nx69yyas9uh2eqfce0gnxu7u9jrexvplqym8zl,Help Gaza,
sei100pmxeglv2userh2ycx99gzs7wprzxyrxn3udnwskvhpcrqjaugqgzf7s9,3,sei1cf7xlug592yx8axflwch8e6c9gs5e5s6f77tpx58xcp4hhhxq9squuz7tg,,Astroport LP token,
